Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
KIN422,"Human Posture, Balance and Gait","This course will provide a detailed understanding of the kinematics, kinetics, and neural control of standing posture, stepping, walking, and running. Measurement techniques and the interpretation of movement data will be emphasized from biomechanical and neural control perspectives. Applications to aging and pathology will be emphasized.","","Prereq: KIN 221, 221L","",""
KIN425,"Biomechanical Modelling","This course will examine the quantitative measurement and analysis of the human musculoskeletal system. Multi-segment dynamic movements will be studied using computer programs, with emphasis on kinematics, kinetics and energetics, as well as the use of EMG in the assessment of the control of the movement. Examples are presented from pathological, normal, and athletic movement.","","Prereq: KIN 221, 221L","",""
KIN427,"Low Back Disorders","This course will consider the multidisciplinary issues (psychosocial, behavioural, physiological, motor control, biomechanical, and legislative) related to low back disorders. A solid scientific foundation is developed from the study of anatomy, normal function, and injury mechanics. This foundation is used to substantiate the best strategies for injury prevention and optimal rehabilitation for those with low back disorders.","","Prereq: KIN 221, 221L","",""
KIN428,"Upper Extremity Disorders","This course introduces the multiple factors that mediate the initiation, diagnosis, treatment, and rehabilitation of disorders in the upper extremities. Beginning with a systematic review of hand, wrist, elbow, and shoulder region functional anatomy, a knowledge base is developed to provide a means for the analysis of injury mechanisms. Current prevention, clinical diagnosis, and rehabilitation techniques for specific disorders will be examined, including carpal tunnel syndrome, rotator cuff tears, and lateral epicondylitis. Pathologies arising from occupational, sport, and daily living activities will be addressed.","","Prereq: KIN 221, 221L","",""
KIN429,"Bone and Joint Health","The overall aim is to provide a comprehensive understanding of human bone and cartilage in health and disease. Specific topics covered include: skeletal physiology, bone and cartilage growth and development, prevalence and etiology of several bone and joint conditions (e.g., osteoporosis, arthritis), clinical evaluation, diagnosis and treatment of bone and joint conditions, and the roles of nutrition and exercise in the prevention and treatment of bone and joint disease. The course will incorporate current issues, problem-based learning, research skills, and student-led seminars in addition to the lecture-based framework.","","Prereq: KIN 100, KIN 100L or BIOL 201/301; Level at least 3A","",""
KIN431,"Research Proposal","An independent paper in the form of a research proposal on an approved topic. The topic may include survey, field, laboratory, theoretical, or applied research, program evaluation, mathematical modelling, fitness appraisal, etc. The format is to be determined with the supervisor and may be in chapters or in journal style.","Department Consent Required","Prereq: Level at least 4A Honours Kinesiology","",""
KIN432,"Research Project","An independent research project on an approved topic, supervised by a faculty member. This is the completion of the research proposed in KIN 431. The format is to be determined with the supervisor and may be in chapters or in journal style.","","Prereq: KIN 431","",""
KIN433,"Senior Essay","An extensive critical review of the literature on an approved topic, supervised by a faculty member. The topics will be broader in scope than those associated with specific research proposals.","Department Consent Required","Prereq: Level at least 4A Honours Kinesiology","",""
KIN446,"Physiological and Biochemical Aspects of Nutrition and Health","Selected examples of nutrient metabolism will be examined in detail in regard to dietary intake, metabolism, and mechanistic effects on human health. Comprehensive coverage of all nutrients is not intended, but rather the examples will be examined in detail with a focus on research techniques and approaches, and various factors that interact with and influence nutrition.","","Prereq: KIN 146; One of KIN 217, CHEM 233, CHEM 237; Level at least 3A","",""
KIN453,"Applied Sport Psychology","An examination of the methods and techniques for developing psychological skills to enhance performance and personal growth. Focus will be on learning strategies to increase the ability to self-regulate and influence others behaviour and improve performance. Topics may include confidence, mental toughness, imagery, concentration, and attention.","","Prereq: KIN 354","",""
KIN455,"Brain and Behavioural Development","This course focuses on the neurobiological basis underlying brain and behaviour development from conception to adolescence. The emergence of neural functions and corresponding behaviours will be discussed in the context of a complex interaction between genes and environment. Topics include molecular/genetic perspectives, epigenetics, critical periods of cortical development, plasticity, sensorimotor and cognitive development. The course focuses on typical development, but conditions that induce abnormal brain development will be considered.","","Prereq: KIN 255","",""
KIN459,"Cognitive, Emotional and Motor Assessment","This course is designed to provide the student with an introduction to the principles underlying the assessment of cognitive, emotional, and motor functions. Measurement issues associated with test development and use, factors involved in the administration and interpretation of test results, and methods of report writing will be examined. Students will learn to administer a number of test instruments used in the assessment of cognitive, emotional, and motor functions.","","Prereq: KIN 456/359.","","Antireq: KIN 457"
KIN464,"Psychology of Injury and Rehabilitation","This course will examine the psychological theories and models related to injuries (in sport, work/labour, and clinical populations) and the ensuing rehabilitation of the injuries. Emphasis will be placed on the psychological antecedents to injury and factors related to the psychological experience and treatment of injured individuals and individuals in transition from injury to returning to play or returning to the workforce. The course will also discuss the importance of communication in the injury management process (e.g., with physicians, specialists, coaches, supervisors, managers) and identifying symptoms to refer individuals to professional psychological services.","","Prereq: KIN 354 or Level at least 3A Psychology","",""
KIN470,"Seminar in Kinesiology","An examination of current major issues and trends in Kinesiology. Students select areas of major interest from a series of faculty introduced topics.","","Prereq: Level at least 4A Kinesiology","",""
KIN471,"Contemporary Issues in Kinesiology","One or more term courses will be offered from time to time as announced by the Kinesiology Department. Subjects will be dependent upon special research and/or instructional interests of faculty.","","Prereq: Level at least 3A Kinesiology students","",""
KIN472,"Directed Study in Special Topics","For the student who desires to pursue a particular topic in depth through guided independent research and/or reading. A faculty member must approve a students project prior to registration. ","[Note: May be repeated in subsequent terms.]","","",""
KIN491,"Clinical Kinesiology -- Sports Injuries Assessment","Practical experience in the examination, diagnosis, and treatment of sports injuries under the supervision of a Certified Athletic Therapist. Case presentations and musculoskeletal assessments are discussed in a group setting.","","Prereq: KIN 340; Kinesiology students only","",""
KIN492,"Exercise Management for Chronic Conditions","This practicum provides students with the opportunity to gain hands-on experience in the field of clinical exercise physiology and to link concepts and theory to real-world experiences. Practical skills are gained within a laboratory setting and through placement with the Center for Community Clinical and Applied Research Excellence (CCCARE) chronic disease programs. Skills are developed to a competency level required for certification as a Clinical Exercise Physiologist, with major emphasis placed on the cardiorespiratory and neuromuscular implications of exercise assessment, prescription, and management of chronic health conditions.","Department Consent Required","Prereq: KIN 204, KIN 204L, KIN 407.","","Antireq: KIN 492A, KIN 492B"
KIN493,"Clinical Kinesiology: Movement Assessment Practicum","Practical experience in movement assessment of persons from various special populations such as the normal elderly and those with neurological, degenerative, or developmental disorders. Motor functions involving gait, posture, and balance or upper-limb movements will typically be examined in these assessments.","Instructor Consent Required","Prereq: KIN 242/312, 456/359, 416, 422; Cumulative overall average at least 75%","",""
LS101,"Introduction to Legal Studies","An introduction to the study of law, its structure, and legal institutions from a cross-cultural and historical perspective. This interdisciplinary course examines the origins of legal systems and their impact on society. Included is an analysis of the diverse historical, political, economic, and cultural conditions under which law arises and functions within society.","","","",""
LS201,"Women and the Law","This course provides an introduction to feminist legal thought with a particular focus on Canadian cases, legislation, law reform, and legal literature. Included is an analysis of the ways in which law contributes to womens legal, social, political, and economic status as well as the manner in which the law is used as a mechanism of social change for women. The intersection of gender with age, race, ethnicity, religion, and class will be addressed.","","","","Antireq: WS 206"
LS202,"Criminal Law","A case-study approach to the study of criminal law in Canada with a focus on basic concepts and core principles relating to legal judgements along with comparative examination between civil and criminal law and attention to legal theory. ","[Note: Formerly LS 102.]","Prereq: LS 101.","","Antireq: LS 102"
LS203,"Special Topics in Legal Studies","An in-depth analysis of research in selected topics in Legal Studies. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","Prereq: LS 101","",""
LS206,"Canadian Government & Politics","An examination of Canadas federal system, parliamentary government, and national political processes, such as the party system, interest groups, the electoral system, and voting behavior.","","Prereq: One of PSCI 100, 101, 110","",""
LS213,"Surveillance Studies","An introduction to the central role of surveillance in shaping power relations and knowledge across a range of social and cultural contexts. Foundational historical, theoretical, and empirical texts that define the field of surveillance studies will be explored.","","Prereq: SOC 101/101R or LS 101; Level at least 2A.","","Antireq: LS 203 LEC 001 winter 2020, LEC 041 fall 2020, LEC 001 fall 2021; SOC 230 LEC 001 winter 2020, fall 2020, fall 2021"
LS221,"Research Methods","An introductory survey of the research techniques commonly employed by sociologists, criminologists, and legal studies researchers. The formulation of research designs appropriate to various kinds of intellectual problems in social science is stressed.","","Prereq: One of LS 101, SOC 101/101R; Level at least 2A; Not open to students in the Faculty of Mathematics.","","Antireq: ISS/SDS 251R, KIN 330, PSYCH 291, REC 270, SOC 321/LS 321, SMF 220, SWREN 251R"
LS222,"Juvenile Delinquency","A systematic analysis and criticism is presented of biological, psychological, psychoanalytical, and sociological theories of juvenile delinquency. Attention is given to statistics and contemporary research with special emphasis on the distribution and types of delinquent subcultures.","","Prereq: SOC 101/101R","",""
LS223,"Deviance: Perspectives and Processes","The deviance-making process is examined in a variety of social contexts. This course examines the emergence of rules and control agencies, the processes by which people become involved in deviant activities, and the contingencies affecting their careers as deviants.","","Prereq: SOC 101/101R","",""
LS224,"Victims and Society","This course will examine the substance of victimization: the scientific study of victims, the process, etiology, and consequences of victimization. Topics will include victims and politics, the victims movement, victim-precipitation, the victimization of women, and family violence.","","Prereq: SOC 101/101R","",""
LS226,"Sociology of Mental Disorder","An examination of sociological research and theory in the field of mental disorders particularly as they apply to issues of law and social control. Topics include mental health legislation, the medical model of mental illness, the epidemiology of mental disorder, family processes and psychiatric hospitalization, public attitudes and social stigma, and specific forms of mental disorder.","","Prereq: SOC 101/101R","",""
LS227,"Criminology","An examination of the major theories of crime causation and their implications for the development of social policy. Both historical and contemporary theories will be discussed.","","Prereq: SOC 101/101R","",""
LS228,"Sociology of Criminal Justice","Decisions to process offenders and the role of social factors in the Canadian criminal justice system are critically examined. Focal issues include police discretion, the legal profession, and prison systems.","","Prereq: SOC 101/101R","",""
LS229,"Selected Topics in Criminology","Sociological analysis of research and theory on selected criminal activities. Motivation, modus operandi, and the social characteristics of offenders will be examined in relation to such specific crimes as drug and sexual offenses, theft, robbery, murder, organized crime, and/or other criminal activities.","","Prereq: SOC 101/101R","",""
LS235,"History of Ancient Law","A historical introduction to law in the ancient world. Babylonian, Assyrian, Hittite, and Roman law, legal practices, and concepts will be examined.","","","",""
LS236,"Law and Society in the Middle Ages","A study of the laws and legal procedures of the  Middle Ages. This course examines the relationship between legal procedures and institutions and the medieval societies that produced them.","","Prereq: Level at least 2A","",""
LS237,"Canadian Legal History","This course examines the Canadian legal system from colonial times to the present with particular emphasis on such themes as law and the economy, courts and judiciary, the legal profession, family and criminal law, women and the law, and civil liberties.","","","",""
LS240,"Terrorism","This course offers an introduction to the study of terrorism, with a primary focus on sociological approaches. The course examines the history, causes, and diversity of forms of terrorist groups and the process of radicalization, suicide terrorism, and some aspects of the counter-terrorism response of states.","","Prereq: SOC 101/101R","",""
LS250,"Family Policy and the Law","There is a persistent tension in our society about where the responsibility for children lies: with the family or the society. This course examines various topics in Canadian social and family policy that affect childrens development and family well-being. Topics may include the legislative provisions in areas such as parenting supports, income security, family law, youth justice, caregiving, and the distinct framework for Indigenous families. Students will use foundational concepts and theories to examine the strengths and limitations of policy to address the needs of families.","","Prereq: Level at least 2A","",""
LS263,"Organized Crime","An examination of select criminal organizations in North America. Particular attention will be given to the social history of the mafia and the development of legal tools for policing criminal organizations. Additional themes for discussion include enterprise and economic crimes, corruption, and the role of women in organized crime.","","Prereq: SOC 101/101R","",""
LS271,"Conflict Resolution","An examination of the resolution of conflicts, ranging from interpersonal to broader social and international conflicts. Students are introduced to negotiation, mediation, and nonviolent resistance, and are encouraged to develop their own theoretical understandings that aid in addressing conflict.","","","",""
LS272,"Psychology and Law","Psychological principles drawn from a variety of subdisciplines (e.g., social, clinical, cognitive) will be surveyed in terms of their relevance and application to the legal system. Topics may include jury selection and decision-making, eyewitness testimony, insanity defense, competency assessment, risk assessment, and attitudes toward law and the legal process.","","Prereq: PSYCH 101/101R","",""
LS273,"Children's Rights in Canada","This course examines childrens rights from a moral and comparative legal perspective. Students explore the welfare and developmental interests of children; the corresponding duties of parents, custodians, educators, and social workers; and the nature and scope of public educational authority in the common law jurisdictions of Canada.","","","",""
LS280,"Social Statistics","A basic course in statistics used in social science research including sampling, central tendency, probability, and covariance, as illustrated in specifically sociological and criminological data.","","Prereq: One of LS 101, SOC 101/101R; Level at least 2A; Not open to Math students.","","Antireq: ARTS 280, ECON 221, ENVS 278, ISS 250A/B, ISS/SDS 250R, KIN 222, PSCI 314, PSYCH 292, REC 371, SMF230, STAT202, 206, 211, 221, 231, 241, SWREN250A/B, 250R"
LS283,"Business Law","Particular attention is given to the law relating to contracts and business organizations. Other areas of study include sources of law, the judicial process, real and personal property, torts, agency, credit, and negotiable instruments.","","Prereq: Not open to Accounting and Financial Management,Mathematics/Chartered Professional Accountancy or Biotechnology/Chartered Professional Accountancy students.","","Antireq: AFM 335, MTHEL 100/COMM 231,BUS 231W, CIVE 491, GENE 411, ME 401"
LS286,"Law in Popular Culture","Much is at stake in how law is portrayed in paintings, literature, music, television, and movies. In this course students will draw on a range of disciplines in the social sciences and humanities to study how law is represented in popular culture, and how these representations, in turn, impact how we view law.","","Prereq: LS 101","",""
LS291,"Legal Writing","A study of the principles, processes, and various forms of writing used in the practice of law and drafting of legislation.  The history and structure of legal writing, including current debates about plain language, will be examined.","","","",""
LS292,"Literature and the Law","A study of literary works that involve legal matters and/or have led to litigation on such grounds as obscenity, treason, heresy, libel, and plagiarism.","","","",""
LS300,"Sociology of Law","This course examines the social construction of law and its administration as a social process. Topics will include law as an instrument of social control and social change, legal culture, the identification and evaluation of criminal suspects, the trial process and the rights of special groups. The specific laws highlighted will vary.","","Prereq: SOC 101/101R; Level at least 3A","",""
LS305,"Socio-Legal Approaches to Privacy in Contemporary Contexts","An introduction to privacy as a socio-legal concept and to major debates surrounding privacy in contemporary contexts. National and international frameworks for the regulation of privacy will be examined and may include analysis of major cases in privacy law.","","Prereq: SOC 101/101R or LS 101; Level at least 3A","",""
LS306,"Juvenile Justice","An examination of theories of juvenile justice, juvenile law, and the structure and operations of juvenile systems, especially in Canada.","","Prereq: LS/SOC 222.","","Antireq: SOC 226"
LS315,"Labour Law","Students will be introduced to core concepts in labour law such as the common law employment contract, the regulatory regime of employment, and collective bargaining. The course will also introduce students to issues in contemporary work such as the rise of non-standard labour arrangements, precarious work, and transnational labour. Students will be encouraged and challenged to think critically about the interdisciplinary nature, and limitations, of labour law. In lecture and discussion components, students will be invited to engage with scholarly legal literature as well as with their peers, who will have diverse experiences with, and/or expectations of, work and employment. Written assessments will develop students communication skills, in both practical case-law application and critical thinking.","","Prereq: LS 101.","","Antireq: LS 330 001 taken in winter 2022"
LS319,"Negotiation: Theories and Strategies","This course explores different ways of negotiating between people and groups with conflicting interests. Students will learn the theory behind the strategies and develop practical negotiation skills you can put to use in your daily life at home, at work, and in the community.","","","","Antireq: PSYCH 439"
LS322,"Field Research Methods","This course provides a critical evaluation of research techniques in sociology, criminology, and legal studies with an emphasis on learning and applying qualitative fieldwork approaches.","","Prereq: SOC 221/LS 221; Not open to Mathematics students.","","Antireq: SDS 351R"
LS325,"Sexuality and the Law","Despite the commonly held belief that sexuality is nothing more than doing what comes naturally, cultural definitions, including prohibitions against specific forms of conduct, impinge upon the most private or intimate of acts. This course examines the social construction and control of sexuality through law.","","Prereq: SOC 101/101R","",""
LS326,"Punishment and Society","A critical criminological and sociological examination of theories and practices of punishment. This course will examine transformations in penal theory, penal management, and penal institutions and their social and policy implications.","","Prereq: SOC 101/101R","",""
LS327,"Policing in a Democratic Society","A critical examination of the police as social control agents in contemporary democratic societies. Topics include the historical evolution of policing; police recruitment, training, and education; police/community relations; the occupational subculture of the police; police authority and discretion; private policing; and police deviance and criminality.","","Prereq: One of SOC/LS 227, SOC/LS 228, or SOC/LS 229","",""
LS328,"Trafficking and Financial Crime","An examination of the causes and impact of the illegal traffic in goods and services in Canada and internationally. Topics may include human trafficking, trade in illicit drugs and weapons, money laundering and financing of terror, and the relationship between trafficking and state political violence.","","Prereq: SOC 101/101R; Level at least 3A","",""
LS329,"Security and Governance","The course examines the relationship between the framing of (in)security and policing as a dominant approach to govern risk in our modern era. Topics may include the policing of political protest, the Anthropocene, and the Internet. Students will analyze whats at stake with the diffusion of security in social life.","","Prereq: SOC 101/101R.","","Antireq: LS 330 LEC 001 taken winter 2020, SOC 330 LEC 001 taken winter 2020"
LS330,"Special Topics in Legal Studies","An in-depth analysis of research in selected topics in Legal Studies. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","Prereq: LS 101; Level at least 3A","",""
LS331,"Human Rights in Historical Perspective","A detailed analysis of selected topics in the history of human rights. Special attention will be paid to revolutionary developments since World War II, and to the emergence of modern human rights policies. Topics will be examined through assigned readings, lectures, and films.","","Prereq: Level at least 2A","",""
LS342,"Migration and Legality","This course introduces students to key concepts and case study research on the regulation of human migration and its exclusionary practices. It examines how state policies, laws, and international organizations control the mobility of migrants and refugees across regions and borders.","","","",""
LS344,"Restorative Justice","This course investigates the history, theory, principles, practices, and people of restorative justice. Content will centre particularly on restorative justice as a way of dealing with crime and interpersonal violence in the Canadian context.","","Prereq: Level at least 2A or Peace and Conflict Studies Diploma students","",""
LS350,"Love and the Law","Relationship breakdown is a social phenomenon that can have legal consequences. This course provides students with a socio-legal foundation in current family law. Topics may include the court system, the litigation process, property division, spousal and child support, child co-parenting, child protection, high conflict families, and alternative dispute resolution processes. Students will learn about the strengths and limitation of the law to address relationship breakdown and develop transferable skills for careers in policy, social work, mediation, family justice, education, and community service organizations.","","Prereq: Any 200-level LS or SMF course; Level at least 3A","",""
LS351,"Philosophy of Law","Basic themes in the philosophy of law. Issues include the nature of law and its relation to morality and politics, legal reasoning, the justification of punishment, and theories of rights, responsibility, and liability.","","Prereq: Level at least 2A","",""
LS352,"Human Rights","What are human rights? Which do we have, and why? What are the practical implications of human rights, for both individuals and institutions? A comprehensive discussion of theory and history, of law and morality, and of national and international applications.","","Prereq: Level at least 2A","",""
LS363,"Canadian Constitutional Law","An introduction to the nature and basic principles of constitutional law. Explores constitutional conventions, the distribution of powers in the Canadian federalism, Aboriginal and treaty rights, and the Charter of Rights and Freedoms.","","Prereq: LS 101 or LS 206/ PSCI 260","",""
LS365,"Transnational Migration","This survey of transnational migration in the contemporary moment examines the reasons people have migrated voluntarily (e.g., as migrant workers) and involuntarily (e.g., as refugees), and how international and domestic law and policies affect, enable, and/or criminalize the movements of people across state borders.","","Prereq: One of PSCI 250, 252, 255, 259, 264, 281, LS 206/PSCI 260; Level at least 3A","",""
LS366,"Global Governance","Global governance is governing beyond the state.  An examination of diverse problems - global warming, international human rights, terrorism, property rights disputes, and health crises - which transcend borders and demand cooperative global solutions.","","Prereq: Level at least 3A","",""
LS372,"Criminal Profiling","Foundational assumptions for, and basic approaches to, criminal profiling will be considered, along with a survey of relevant techniques in the context of numerous case studies. Limitations and alternatives to profiling will also be addressed.","","Prereq: PSYCH 230/LS 272","",""
LS373,"Indigenous Peoples and Canadian Public Policy","Framed within the Truth and Reconciliation process underway in Canada, this course examines the historical and ongoing colonial processes and impacts of government policies targeting First Nations, Inuit, and Métis peoples. Particular analysis will be given to government policy as a cause of (and response to) social, political, and economic problems experienced by Indigenous peoples in Canada. ","[Note: SWREN 311R is available only to students who have been given conditional admission to the BSW program; such students must have already completed their first undergraduate degree.]","","",""
LS374,"The Evolution of Family Law in Canadian Society","This course examines the evolution of family law in Indigenous, francophone, anglophone, and other communities in Canada. Taking an interdisciplinary approach, the course not only explores the demographic, economic, social, and political contexts in which family law developed but also assesses its significance for Canadian society.","","Prereq: Level at least 2A","",""
LS386,"Law and Violence","Discussions about laws coercive power raise important questions about the legitimacy of state-sanctioned violence. This course uncovers the roots and limits of laws power as it relates to questions of violence, obedience, and dissent.","","Prereq: LS 101","",""
LS387,"Criminal Justice Institutions","The societal context of policing, courts, and corrections is examined to understand how social control and the law are used in the criminal justice system. Special emphasis is placed on the socio-economic, legal, political, and situational environment that shapes responses to different categories of offenders and offences.","","Prereq: SOC 101/101R; Level at least 3A","",""
LS401,"Law, Culture, and Rights","This seminar explores the intersection of culture and rights from a legal studies perspective in order to better understand the diversity of ways that law shapes our society, and vice versa. Students will debate and assess selected topics from the perspective of various disciplines spanning the social sciences and humanities.","","Prereq: Level at least 4A","",""
LS402,"Perspectives on Legal Authority and Subjectivity","This seminar explores the relation between those who make or administer law and select legal subjects whose lives and identities are shaped by law. Students will debate and assess selected perspectives while touching on various disciplines spanning the social sciences and humanities.","","Prereq: Level at least 4A","",""
LS403,"Socio-Legal Responses to Crime","This course examines responses to crime from historical, philosophical, legal, psychological, sociological, and other related perspectives. The primary focus is on the relationship between the law, motivations of offenders, and responses by individuals and the criminal justice system to chronic, sex, and violent offenders.","","Prereq: Level at least 4A Legal Studies students","",""
LS404,"Law of the Environment","This seminar questions where, and why, the lines are drawn between environment, ecology, politics, economics, and law. Students debate and assess selected topics in Canadian and international environmental law to critically consider the significance of law of the environment as our world navigates crises of climate and change.","","Prereq: Level at least 4A Legal Studies majors.","","Antireq: LS 496 Section 044 taken in fall 2020; LS 496 Section 004 taken in winter 2022"
LS405,"Democracy, Revolution, Law","This course examines the theory and practice of revolution from a range ofsocial, political, and legal perspectives. Students will study different historicaland contemporary instances of revolution and democracy with a focus on suchconcepts as citizenship, nationalism, liberation, and criminality.","","Prereq: Level at least 4A Legal Studies majors","",""
LS413,"Surveillance and Society","An examination of the way monitoring technologies alter and shape social life in terms of security, fear, control, and vulnerability.","","Prereq: Level at least 4A Legal Studies students","",""
LS419,"Police Systems and Practices","This course examines contemporary issues in policing. Topics may include police response strategies in different models of policing, economics of policing, use of discretion, police accountability, and the changing functions and activities of the police.","","Prereq: Level at least 4A Legal Studies students","",""
LS422,"Violent Extremism and Terrorism","This course examines contemporary issues in terrorism studies. Topics may include the history and comparative analysis of political and religious forms of violent extremism, the process of radicalization and recruitment, the analysis of different forms of terrorist activity, and the counter-terrorism policies and practices.","","Prereq: Level at least 4A Legal Studies students","",""
LS423,"Peers and Crime","This seminar examines the peer influence perspective in criminology. Key theoretical, methodological, and substantive issues and challenges are addressed.","","Prereq: Level at least 4A Legal Studies students","",""
LS425,"Crossing Borders: Law and Global Deviance","This seminar-style course, positioned at the intersection of sociology and law, examines illicit cross border activity such as terrorism, piracy, drugs, trafficking, and illegal immigration. Each cross-border activity will be examined, along with the way states respond to it politically and legally at a national and international level. Ethnographic research on the activity will provide for rich descriptions of how and why people participate in such activities.","","Prereq: Level at least 4A Legal Studies students","",""
LS426,"Criminology of Mobility","This course offers a critical exploration of the growing nexus of crime control and the control of human mobility under conditions of mass migration and globalization, focusing on the developing area of study called the criminology of mobility (or border criminology). Students will develop an awareness of the social, cultural, and political diversity of law and mechanisms of social control that structure human mobility while paying attention to issues of race, gender, class, and other social relations of power in this field. Students will also develop their oral, written, and digital skills to communicate their ideas about course content through critical assessment of current research.","","Prereq: Level at least 4A Legal Studies students.","","Antireq: LS 496 001, SOC 430 001 taken fall 2019; LS 496 042, SOC 430 042 taken fall 2020; LS 496 041, SOC 430 041 taken spring 2021"
LS428,"Sentencing as a Social Process","This course examines in depth the process and results of criminal sentencing. Topics include types of sentences for criminal and quasi-criminal offences, objectives of sentences, factors affecting sentences, the process of sentencing, the administration and effectiveness of sentences, and unresolved debates in sentencing.","","Prereq: Level at least 4A Legal Studies students","",""
LS431,"Corporate Governance","Corporations adopt different internal regulations depending on geography, size, industry, legal jurisdiction, political climate, and historical context. In this course each of these factors is examined in order to understand the evolution of corporate governance. This framework prepares students for a critical assessment of the main theories of corporate governance, while a comparative approach invites debate about corporate legal obligations and social responsibilities.","","Prereq: Level at least 4A Legal Studies majors","",""
LS433,"Crime, Law, and Technoscience","A critical examination of science and technology in law and criminal justice. Focus will be on topics such as the histories, politics, and cultural representations of forensic sciences and technologies used in evidence collection, surveillance, policing, criminal courts, and incarceration.","","Prereq: Level at least 4A Legal Studies students","",""
LS434,"Sociology of At-Risk Youth","This course examines the social attributes and surrounding conditions associated with at-risk youth. It will focus on the development of youth in three major institutions - education, criminal justice, and mental healthcare. This course will focus on the attributes of youth themselves, but also to changing institutional definitions and practices. This course may include an experiential learning component outside regular classroom hours.","","Prereq: Level at least 4A Legal Studies students","",""
LS435,"Cybercrime and Digital Harm","An examination of theoretical perspectives and empirical developments surrounding cybercrime, digitally-mediated harms, and associated regulatory responses. A range of topics may be explored, including hacking, technology facilitated abuse, (dis)information, censorship, human rights, and cybersecurity.","","Prereq: Level at least 4A Legal Studies students.","","Antireq: LS 496 SEM 041 fall 2020, fall 2021; SOC 430 SEM 041 fall 2020, fall 2021"
LS461,"Transnational Organized Crime","This seminar course examines contemporary legal regimes surrounding transnational organized crime, terrorism and organized crime, and international money laundering.","","Prereq: Level at least 4A Legal Studies students","",""
LS462,"Indigenous Political Theory","In this course students will develop familiarity with key concepts such as dispossession, elimination, and the politics of refusal, and situate them in a context of differing ideas regarding authority and contrasting legal orders. The role of these concepts in the political thought of Indigenous peoples and movements will be critically assessed. Students will demonstrate their learning through both oral and written assignments.","","Prereq: Level at least 4A","",""
LS463,"Rights and Public Policy","An examination of the role that rights and rights discourse plays in public policy development and policy change. Examines Canadian public policy in relation to the Charter of Rights and Freedoms and human rights legislation, as well as cases in comparative context.","","Prereq: LS 101 or LS 206/ PSCI 260","",""
LS464,"Justice and Gender","Theories of justice are concerned with the distribution of the basic goods of society - money, power, status, leisure, and so on. This course considers how the gender system fares from the standpoint of liberal justice, and to what extent the promises of liberal justice can be used to overturn the unequal treatment of women.","","Prereq: One of LS 201, PSCI 225/CLAS 225, PSCI 226, 291, 292, 370; Level at least 4A","",""
LS471,"Communication, Resistance, and Social Change","This course explores the function of communication in advocating for and generating social change, mostly through practices of resistance, protest, and other forms of dissent and collective action. Students will consider how the broader assemblage of media, social, and civic institutions resist change, and will imagine how communication might be used effectively to challenge the status quo.","","Prereq: Level at least 3A","",""
LS492,"Communication and Social Justice","An examination of how communication on the part of individuals, groups, and institutions implicates social justice. Students examine the relationship between communication and justice to understand how the representation and performance of gender, race, ethnicity, and other cultural constructs contribute to social and political conditions.","","Prereq: Level at least 3A","",""
LS496,"Special Topics in Legal Studies","This course will deal with selected topics in legal studies. Subjects will be dependent upon the research and/or instructional interests of faculty. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","Prereq: LS 101; Level at least 4A","",""
LS498,"Directed Readings in Legal Studies","Selected study and assignments under the direction of a faculty member who teaches courses in legal studies and criminology. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","Prereq: Level at least 3A","",""
MATBUS371,"Introduction to Corporate Finance","Cash flow analysis. Cost of capital, investment decision rules, capital budgeting, depreciation. CAPM. Description and valuation of financial instruments including stocks, swaps, options, and bonds.","","Prereq: ACTSC 221 or ACTSC 231.","Coreq: STAT 231 or 241.","Antireq: AFM 272/ACTSC 291, AFM 273, 274, AFM 275/AFM 372/ACTSC 391, BUS 283W, ECON 371, ACTSC 371, ACTSC 372"
MATBUS470,"Derivatives","Overview of the derivatives markets. Pricing of derivatives, including futures, forwards, swaps, and options. Hedging vs. speculating. Option Greeks. Trading strategies. Case studies.","","Prereq: (One of AFM 275/AFM 372/ACTSC 391, ACTSC 371, BUS 393W), (STAT 334 or (STAT 330 and 333)).","","Antireq: AFM 322/474, ACTSC/STAT 446, BUS 423W, ECON 372"
MATBUS471,"Fixed Income Securities","Analysis of fixed income securities. Duration, convexity. Structured products. Market characteristics. Valuation of bonds with embedded options. Accounting and taxation issues.","","Prereq: ACTSC 231 and (ACTSC 372 or BUS 393W) or AFM 275/AFM 372/ACTSC 391; Business/Math double degree, Math/Accounting, or Math/Financial Analysis and Risk Management students only.","","Antireq: AFM 425/475, BUS 449W"
MATBUS472,"Risk Management","Principles of Risk Management. Market, credit, and operational risk management. Risk measures. Hedging strategies and risks in hedging. Credit migration. Global financial market regulation. Case studies.","","Prereq: One of ACTSC 372, AFM 275/AFM 372/ACTSC 391, BUS 393W; Business/Math double degree, Math/CPA, or Math/Financial Analysis and Risk Management students only.","","Antireq: ACTSC 445, AFM 422, BUS 433W"
